"","Recipient.Org.Identifier","Funding.Org.Identifier","Recipient.Org.Name","Amount.Received","Grants.Received"
"1","360G-cabinetoffice-org:GA-Ofcom-3","GB-GOR-D25","redacted",0.02062912431,3047
"2","360G-cabinetoffice-org:GA-Ofcom-3","GB-GOR-D9","redacted",0.431801957160001,2720
"3","360G-cabinetoffice-org:GA-Ofcom-3","GB-GOR-D13","redacted",0.24498516228,2057
"4","360G-cabinetoffice-org:GA-Ofcom-3","GB-GOR-D6","redacted",0.21714922585,2025
"5","360G-cabinetoffice-org:GA-Ofcom-3","GB-GOR-D1315","redacted",0.03322857716,976
"6","360G-cabinetoffice-org:GA-Ofcom-3","GB-GOR-D5","redacted",0.12237957845,13
"7","360G-cabinetoffice-org:GA-Ofcom-3","GB-GOR-D1198","redacted",0.0001065288,1
"8","GB-UKPRN-10007784","GB-GOR-D1198","university college london",0.75273252826,1248
"9","GB-UKPRN-10007784","GB-GOR-D6","ucl institute of education",0.03084806129,46
"10","GB-UKPRN-10007784","GB-GOR-D5","university college london",0.00074854366,31
"11","GB-UKPRN-10007784","GB-GOR-D7","university college london",0.00033015643,3
"12","GB-UKPRN-10007784","GB-GOR-D9","university college london",3.802258e-05,3
"13","GB-UKPRN-10007784","GB-GOR-D12","university college london",0.00019115,1
"14","GB-UKPRN-10007774","GB-GOR-D1198","university of oxford",0.7069588965,1194
"15","GB-UKPRN-10007774","GB-GOR-D6","university of oxford",0.00703367829,22
"16","GB-UKPRN-10007774","GB-GOR-D7","university of oxford",0.00120678825,18
"17","GB-UKPRN-10007774","GB-GOR-D1315","university of oxford",0.00837158876,11
"18","GB-UKPRN-10007774","GB-GOR-D5","university of oxford",0.0068939105,9
"19","GB-UKPRN-10007774","GB-GOR-D8","university of oxford",0.00205774982,5
"20","GB-UKPRN-10053509","GB-GOR-D1198","university of cambridge",0.60368159437,1048
"21","GB-UKPRN-10053509","GB-GOR-D6","university of cambridge",0.02445298261,34
"22","GB-UKPRN-10053509","GB-GOR-D5","university of cambridge",0.00613719586,23
"23","GB-UKPRN-10053509","GB-GOR-D1315","university of cambridge",0.003113833,1
"24","GB-UKPRN-10053509","GB-GOR-D8","university of cambridge",0.000418516,1
"25","GB-UKPRN-10053509","GB-GOR-D2","university of cambridge",3.875e-05,1
"26","GB-UKPRN-10007798","GB-GOR-D1198","university of manchester",0.53581338668,964
"27","GB-UKPRN-10007798","GB-GOR-D6","university of manchester",0.01675953416,48
"28","GB-UKPRN-10007798","GB-GOR-D5","university of manchester",0.00248079732,7
"29","GB-UKPRN-10007798","GB-GOR-D1315","university of manchester",0.00139760298,2
"30","GB-UKPRN-10007798","GB-GOR-D8","university of manchester",0.0006776689,2
"31","GB-UKPRN-10007798","GB-LAE-MAN","university of manchester",0.000285914,1
"32","GB-COH-04465125","GB-GOR-D1198","imperial college london",0.55191466485,972
"33","GB-COH-04465125","GB-GOR-D17","imperial college london",0.003,2
"34","GB-COH-04465125","GB-GOR-D12","imperial college london limited",0.001095336,1
"35","GB-SC-SC005336","GB-GOR-D1198","university of edinburgh",0.46445908222,938
"36","GB-SC-SC005336","GB-GOR-D7","university of edinburgh",0.000106946,2
"37","GB-SC-SC005336","GB-GOR-D5","university of edinburgh",0.00023562,1
"38","GB-UKPRN-10007786","GB-GOR-D1198","university of bristol",0.49312758565,773
"39","GB-UKPRN-10007786","GB-GOR-D6","university of bristol",0.006381835,13
"40","GB-UKPRN-10007786","GB-GOR-D5","university of bristol",0.00302,2
"41","GB-UKPRN-10007786","GB-GOR-D12","university of bristol",0.00055,1
"42","GB-UKPRN-10007786","GB-GOR-D16","university of bristol",3.3e-06,1
"43","GB-UKPRN-10007795","GB-GOR-D1198","university of leeds",0.36657630975,752
"44","GB-UKPRN-10007795","GB-GOR-D6","university of leeds",0.01145157241,9
"45","GB-UKPRN-10007795","GB-GOR-D9","university of leeds",0.000114052,4
"46","GB-UKPRN-10007795","GB-GOR-D5","university of leeds",0.0003643,3
"47","GB-UKPRN-10007795","GB-GOR-D7","university of leeds",0.000218496,2
"48","GB-UKPRN-10007795","GB-GOR-D25","university of leeds",3e-05,1
"49","GB-UKPRN-10007157","GB-GOR-D1198","university of sheffield",0.39398706299,686
"50","GB-UKPRN-10007157","GB-GOR-D6","university of sheffield",0.02263375096,32
"51","GB-UKPRN-10007157","GB-GOR-D5","university of sheffield",0.0003605062,14
"52","GB-UKPRN-10007157","GB-GOR-D9","university of sheffield",2.2607e-05,1
